Homo sapiens:Human:58:12
Simia satyrus:common_chimpanzee:31:7
Simia sylvanus:Barbary_macaque:57:14
Simia sphinx:mandrill:96:24
Simia apedia:nomen_dubium:77:13
Simia silenus:lion-tailed_macaque:91:25
Simia diana:Diana_monkey:66:15
Simia paniscus:red-faced_spider_monkey:75:8
Simia cephus:moustached_guenon:66:9
Simia hamadryas:Hamadryas_baboon:96:23
Simia jacchus:common_marmoset:30:22
Simia oedipus:cottontop_tamarin:42:7
Simia aethiops:grivet:58:15
Simia midas:red-handed_tamarin:49:10
Simia cynamolgus:crab-eating_macaque:21:16
Simia apella:tufted_capuchin:13:8
Simia morta:nomen_dubium:52:1
Simia capucina:white-headed_capuchin:23:1
Simia sciurea:common_squirrel_monkey:82:3
Simia syrichta:Philippine_tarsier:41:8
Lemur tardigradus:red_slender_loris:29:21
Lemur catta:ring-tailed_lemur:8:3
Lemur volans:Philippine_flying_lemur:9:1
Vespertilio vampyrus:large_flying_fox:45:4
Vespertilio spectrum:spectral_vampire_bat:73:2
Vespertilio perspicillatus:Sebas_short-tailed_bat:21:17
Vespertilio spasma:lesser_false_vampire_bat:57:23
Vespertilio leporinus:greater_bulldog_bat:54:1
Vespertilio auritus:brown_long-eared_bat:20:9
Vespertilio murinus:parti-coloured_bat:78:13
Elephas maximus:Asian_elephant:79:4
Trichechus manatus:West_Indian_manatee:97:17
Bradypus tridactylus:pale-throated_sloth:31:23
Bradypus didactylus:Linnaeuss_two-toed_sloth:43:22
Myrmecophaga didactyla:silky_anteater:42:8
Myrmecophaga tridactyla:giant_anteater:93:7
Myrmecophaga tetradactyla:southern_tamandua:49:18
Manis pentadactyla:Chinese_pangolin:54:21
Phoca ursina:northern_fur_seal:42:4
Phoca leonina:southern_elephant_seal:60:19
Phoca rosmarus:walrus:73:17
Phoca vitulina:harbour_seal:84:6
Canis familiaris:domesticated_dog:59:24
Canis lupus:grey_wolf:95:5
Canis hyaena:striped_hyena:21:1
Canis vulpes:red_fox:67:15
Canis lagopus:Arctic_fox:45:14
Canis aureus:golden_jackal:9:6
Felis leo:lion:81:11
Felis tigris:tiger:64:11
Felis pardus:leopard:23:4
Felis onca:jaguar:51:15
Felis pardalis:ocelot:19:2
Felis catus:domesticated_cat:8:21
Felis lynx:Eurasian_lynx:56:15
Viverra ichneumon:Egyptian_mongoose:7:24
